name,slug, metric tonnes of CO2,date_of_information,ranking,region
"China","china","12,196,000,000","2023",1,"East and Southeast Asia"
"United States","united-states","4,795,000,000","2023",2,"North America"
"India","india","2,821,000,000","2023",3,"South Asia"
"Russia","russia","1,844,000,000","2023",4,"Central Asia"
"Japan","japan","960,230,000","2023",5,"East and Southeast Asia"
"Indonesia","indonesia","829,655,000","2023",6,"East and Southeast Asia"
"Iran","iran","823,364,000","2023",7,"Middle East"
"Saudi Arabia","saudi-arabia","656,511,000","2023",8,"Middle East"
"Korea, South","korea-south","644,231,000","2023",9,"East and Southeast Asia"
"Germany","germany","600,192,000","2023",10,"Europe"
"Canada","canada","585,853,000","2023",11,"North America"
"South Africa","south-africa","446,704,000","2023",12,"Africa"
"Mexico","mexico","441,049,000","2023",13,"North America"
"Brazil","brazil","437,769,000","2023",14,"South America"
"Turkey (Turkiye)","turkey-turkiye","399,173,000","2023",15,"Middle East"
"Australia","australia","394,653,000","2023",16,"Australia and Oceania"
"United Kingdom","united-kingdom","340,940,000","2023",17,"Europe"
"Thailand","thailand","336,693,000","2023",18,"East and Southeast Asia"
"Italy","italy","307,442,000","2023",19,"Europe"
"Vietnam","vietnam","305,404,000","2023",20,"East and Southeast Asia"
"France","france","303,779,000","2023",21,"Europe"
"Taiwan","taiwan","289,109,000","2023",22,"East and Southeast Asia"
"United Arab Emirates","united-arab-emirates","271,703,000","2023",23,"Middle East"
"Kazakhstan","kazakhstan","269,830,000","2023",24,"Central Asia"
"Poland","poland","264,031,000","2023",25,"Europe"
"Malaysia","malaysia","260,005,000","2023",26,"East and Southeast Asia"
"Spain","spain","254,823,000","2023",27,"Europe"
"Singapore","singapore","238,962,000","2023",28,"East and Southeast Asia"
"Egypt","egypt","236,618,000","2023",29,"Africa"
"Pakistan","pakistan","212,655,000","2023",30,"South Asia"
"Argentina","argentina","198,141,000","2023",31,"South America"
"Iraq","iraq","190,815,000","2023",32,"Middle East"
"Netherlands","netherlands","188,191,000","2023",33,"Europe"
"Algeria","algeria","163,661,000","2023",34,"Africa"
"Philippines","philippines","156,228,000","2023",35,"East and Southeast Asia"
"Qatar","qatar","127,783,000","2023",36,"Middle East"
"Bangladesh","bangladesh","125,956,000","2023",37,"South Asia"
"Nigeria","nigeria","114,397,000","2023",38,"Africa"
"Belgium","belgium","112,083,000","2023",39,"Europe"
"Uzbekistan","uzbekistan","110,992,000","2023",40,"Central Asia"
"Ukraine","ukraine","106,847,000","2023",41,"Europe"
"Turkmenistan","turkmenistan","106,215,000","2023",42,"Central Asia"
"Kuwait","kuwait","100,459,000","2023",43,"Middle East"
"Colombia","colombia","85,878,000","2023",44,"South America"
"Oman","oman","84,073,000","2023",45,"Middle East"
"Chile","chile","83,058,000","2023",46,"South America"
"Czechia","czechia","79,901,000","2023",47,"Europe"
"Venezuela","venezuela","76,730,000","2023",48,"South America"
"Israel","israel","64,401,000","2023",49,"Middle East"
"Morocco","morocco","64,173,000","2023",50,"Africa"
"Greece","greece","62,060,000","2023",51,"Europe"
"Romania","romania","61,416,000","2023",52,"Europe"
"Peru","peru","58,903,000","2023",53,"South America"
"Hong Kong","hong-kong","58,433,000","2023",54,"East and Southeast Asia"
