name,slug,value,date_of_information,ranking,region
"China","china","$33,598,000,000,000","2024",1,"East and Southeast Asia"
"United States","united-states","$25,676,000,000,000","2024",2,"North America"
"India","india","$14,244,000,000,000","2024",3,"South Asia"
"Russia","russia","$6,089,000,000,000","2024",4,"Central Asia"
"Japan","japan","$5,715,000,000,000","2024",5,"East and Southeast Asia"
"Germany","germany","$5,247,000,000,000","2024",6,"Europe"
"Brazil","brazil","$4,165,000,000,000","2024",7,"South America"
"Indonesia","indonesia","$4,102,000,000,000","2024",8,"East and Southeast Asia"
"France","france","$3,732,000,000,000","2024",9,"Europe"
"United Kingdom","united-kingdom","$3,636,000,000,000","2024",10,"Europe"
"Italy","italy","$3,133,000,000,000","2024",11,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$3,018,000,000,000","2024",12,"Middle East"
"Mexico","mexico","$2,883,000,000,000","2024",13,"North America"
"Korea, South","korea-south","$2,607,000,000,000","2023",14,"East and Southeast Asia"
"Spain","spain","$2,361,000,000,000","2024",15,"Europe"
"Canada","canada","$2,341,000,000,000","2024",16,"North America"
"Saudi Arabia","saudi-arabia","$2,213,000,000,000","2024",17,"Middle East"
"Egypt","egypt","$1,958,000,000,000","2024",18,"Africa"
"Taiwan","taiwan","$1,743,000,000,000","2023",19,"East and Southeast Asia"
"Poland","poland","$1,649,000,000,000","2024",20,"Europe"
"Australia","australia","$1,635,000,000,000","2024",21,"Australia and Oceania"
"Thailand","thailand","$1,558,000,000,000","2024",22,"East and Southeast Asia"
"Iran","iran","$1,486,000,000,000","2024",23,"Middle East"
"Bangladesh","bangladesh","$1,473,000,000,000","2024",24,"South Asia"
"Vietnam","vietnam","$1,456,000,000,000","2024",25,"East and Southeast Asia"
"Pakistan","pakistan","$1,390,000,000,000","2024",26,"South Asia"
"Nigeria","nigeria","$1,318,000,000,000","2024",27,"Africa"
"Netherlands","netherlands","$1,276,000,000,000","2024",28,"Europe"
"Argentina","argentina","$1,213,000,000,000","2024",29,"South America"
"Malaysia","malaysia","$1,212,000,000,000","2024",30,"East and Southeast Asia"
"Philippines","philippines","$1,202,000,000,000","2024",31,"East and Southeast Asia"
"Colombia","colombia","$978,592,000,000","2024",32,"South America"
"South Africa","south-africa","$870,420,000,000","2024",33,"Africa"
"Singapore","singapore","$800,304,000,000","2024",34,"East and Southeast Asia"
"Romania","romania","$774,376,000,000","2024",35,"Europe"
"Belgium","belgium","$749,229,000,000","2024",36,"Europe"
"United Arab Emirates","united-arab-emirates","$745,994,000,000","2024",37,"Middle East"
"Switzerland","switzerland","$741,035,000,000","2024",38,"Europe"
"Kazakhstan","kazakhstan","$739,385,000,000","2024",39,"Central Asia"
"Algeria","algeria","$722,912,000,000","2024",40,"Africa"
"Sweden","sweden","$668,628,000,000","2024",41,"Europe"
"Ireland","ireland","$620,544,000,000","2024",42,"Europe"
"Chile","chile","$596,556,000,000","2024",43,"South America"
"Iraq","iraq","$585,887,000,000","2024",44,"Middle East"
"Austria","austria","$581,131,000,000","2024",45,"Europe"
"Ukraine","ukraine","$577,583,000,000","2024",46,"Europe"
"Peru","peru","$535,911,000,000","2024",47,"South America"
"Czechia","czechia","$521,928,000,000","2024",48,"Europe"
"Norway","norway","$507,680,000,000","2024",49,"Europe"
"Hong Kong","hong-kong","$497,880,000,000","2024",50,"East and Southeast Asia"
"Israel","israel","$472,177,000,000","2024",51,"Middle East"
"Portugal","portugal","$448,226,000,000","2024",52,"Europe"
"Denmark","denmark","$440,558,000,000","2024",53,"Europe"
"Greece","greece","$392,205,000,000","2024",54,"Europe"
"Hungary","hungary","$389,207,000,000","2024",55,"Europe"
"Ethiopia","ethiopia","$380,895,000,000","2024",56,"Africa"
"Uzbekistan","uzbekistan","$379,989,000,000","2024",57,"Central Asia"
"Morocco","morocco","$350,594,000,000","2024",58,"Africa"
"Kenya","kenya","$328,632,000,000","2024",59,"Africa"
"Qatar","qatar","$317,064,000,000","2024",60,"Middle East"
"Finland","finland","$313,591,000,000","2024",61,"Europe"
"Sri Lanka","sri-lanka","$301,407,000,000","2024",62,"South Asia"
"Burma","burma","$287,559,000,000","2024",63,"East and Southeast Asia"
"Angola","angola","$278,239,000,000","2024",64,"Africa"
"Dominican Republic","dominican-republic","$276,884,000,000","2024",65,"Central America and the Caribbean"
"Belarus","belarus","$265,220,000,000","2024",66,"Europe"
"New Zealand","new-zealand","$257,117,000,000","2024",67,"Australia and Oceania"
"Ecuador","ecuador","$252,728,000,000","2024",68,"South America"
"Tanzania","tanzania","$246,706,000,000","2024",69,"Africa"
"Ghana","ghana","$243,124,000,000","2024",70,"Africa"
"Guatemala","guatemala","$232,673,000,000","2024",71,"Central America and the Caribbean"
"Kuwait","kuwait","$225,947,000,000","2024",72,"Middle East"
"Azerbaijan","azerbaijan","$225,198,000,000","2024",73,"Central Asia"
"Bulgaria","bulgaria","$219,645,000,000","2024",74,"Europe"
"Slovakia","slovakia","$218,762,000,000","2024",75,"Europe"
"Cote d'Ivoire","cote-divoire","$215,018,000,000","2024",76,"Africa"
"Oman","oman","$193,591,000,000","2024",77,"Middle East"
"Serbia","serbia","$177,093,000,000","2024",78,"Europe"
"Croatia","croatia","$164,825,000,000","2024",79,"Europe"
"Panama","panama","$164,484,000,000","2024",80,"Central America and the Caribbean"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$164,367,000,000","2024",81,"Africa"
"Tunisia","tunisia","$156,086,000,000","2024",82,"Africa"
"Nepal","nepal","$149,643,000,000","2024",83,"South Asia"
"Uganda","uganda","$144,137,000,000","2024",84,"Africa"
"Cameroon","cameroon","$143,264,000,000","2024",85,"Africa"
"Puerto Rico","puerto-rico","$141,344,000,000","2024",86,"Central America and the Caribbean"
"Costa Rica","costa-rica","$138,371,000,000","2024",87,"Central America and the Caribbean"
"Lithuania","lithuania","$136,227,000,000","2024",88,"Europe"
"Turkmenistan","turkmenistan","$134,555,000,000","2024",89,"Central Asia"
"Cambodia","cambodia","$123,676,000,000","2024",90,"East and Southeast Asia"
"Bolivia","bolivia","$122,200,000,000","2024",91,"South America"
"Paraguay","paraguay","$112,919,000,000","2024",92,"South America"
"Venezuela","venezuela","$110,943,000,000","2023",93,"South America"
"Jordan","jordan","$109,986,000,000","2024",94,"Middle East"
"Uruguay","uruguay","$108,502,000,000","2024",95,"South America"
"Slovenia","slovenia","$103,118,000,000","2024",96,"Europe"
